                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 101.27,                      0,                      0,                      0,                      0,                      0,                      0,                 156.44,                      0,             0.00064706,             0.00064706,             0.00064706
                      1,                 1.6341,                 2.5714,                 1.5206,                0.88381,                0.12202,                0.29267,                0.17259,                 1.5512,                 2.8881,                 1.3729,             0.00064706,             0.00064706,             0.00064706
                      2,                 1.5805,                 1.9978,                 1.4639,                0.54151,                0.22016,                0.24957,                0.12027,                 1.8871,                 2.9104,                 1.6602,              0.0012877,              0.0012877,              0.0012877
                      3,                 1.6124,                 1.9975,                 1.4827,                0.55321,                 0.4244,                 0.4709,                0.23774,                 1.7831,                 2.7238,                 1.7972,               0.001902,               0.001902,               0.001902
                      4,                 1.5797,                 1.8291,                 1.4706,                0.62435,                0.44032,                0.51061,                0.24406,                 1.7268,                 2.2719,                 1.6994,              0.0018812,              0.0018812,              0.0018812
                      5,                   1.57,                 1.7337,                  1.471,                0.34538,                0.23511,                0.23765,                 0.0949,                 1.9098,                 3.0283,                 1.8814,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.5473,                 1.7018,                 1.4548,                0.54541,                0.47215,                0.47621,                0.21885,                 1.7945,                 2.0071,                 1.7303,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.5261,                 1.6288,                 1.4489,                0.61433,                0.50398,                0.53298,                0.28466,                 1.5853,                 2.8748,                 1.5118,               0.001802,               0.001802,               0.001802
                      8,                 1.4946,                 1.5378,                 1.4116,                 0.6734,                0.54143,                0.60685,                0.31957,                 1.6225,                 1.9187,                 1.5407,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.4741,                 1.5144,                 1.4046,                0.66667,                0.54642,                0.61975,                0.34779,                 1.6014,                  1.803,                 1.4994,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4418,                 1.4285,                 1.3724,                 0.6424,                0.54642,                0.58857,                0.31464,                 1.5612,                 1.5906,                  1.433,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.4404,                 1.3975,                 1.3769,                0.68741,                 0.5809,                0.64909,                 0.3613,                 1.6181,                 1.5317,                 1.5304,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.4474,                 1.3984,                 1.3996,                0.62598,                0.55172,                0.59917,                0.32171,                 1.6353,                 1.5628,                 1.4632,               0.001604,               0.001604,               0.001604
                     13,                 1.4378,                 1.3547,                 1.3871,                 0.7121,                0.58355,                0.67604,                0.37164,                 1.5564,                 1.4561,                 1.4387,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.3563,                 1.2819,                 1.3264,                0.68103,                0.61538,                0.66041,                0.37052,                 1.5957,                 1.5443,                 1.5122,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3752,                 1.2527,                   1.33,                0.70629,                0.61008,                0.68902,                0.38686,                 1.5738,                 1.4516,                 1.4676,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3667,                 1.2491,                 1.3329,                0.65008,                 0.6366,                0.68247,                0.36701,                 1.6075,                 1.4477,                 1.4512,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.3868,                 1.2738,                  1.335,                  0.696,                0.64987,                 0.6886,                0.39458,                 1.5128,                 1.4123,                 1.4216,               0.001406,               0.001406,               0.001406
                     18,                 1.3472,                 1.2045,                 1.3276,                0.71887,                0.63758,                0.70315,                0.41788,                 1.4985,                 1.4697,                 1.4014,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.3459,                 1.1998,                 1.3152,                0.70907,                0.70027,                0.74388,                0.44498,                 1.4386,                 1.3394,                 1.3291,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2975,                   1.17,                 1.2835,                 0.7012,                0.64116,                0.73832,                0.42302,                 1.5121,                 1.3037,                  1.395,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2973,                 1.1472,                 1.2769,                 0.7114,                0.66578,                0.72929,                0.42737,                 1.4349,                 1.4299,                 1.3317,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.2781,                  1.108,                 1.2732,                0.76424,                0.66313,                0.72113,                0.44287,                 1.4001,                  1.284,                 1.3034,               0.001208,               0.001208,               0.001208
                     23,                 1.2719,                 1.0917,                 1.2488,                0.72887,                0.66844,                0.73486,                0.43871,                 1.4203,                 1.3003,                 1.3426,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.2364,                 1.0893,                 1.2441,                0.79884,                0.62069,                0.72555,                0.43797,                 1.4704,                 1.2574,                 1.3454,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.2397,                 1.0327,                 1.2427,                0.76756,                0.65252,                0.75621,                0.43616,                 1.3979,                 1.2371,                 1.3267,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.2262,                  1.078,                 1.2529,                0.70667,                0.71088,                 0.7432,                0.44637,                 1.4619,                 1.3244,                 1.3933,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.2316,                 1.0337,                 1.2362,                0.73973,                0.68435,                0.75638,                0.45542,                 1.4149,                 1.1787,                 1.3199,                0.00101,                0.00101,                0.00101
                     28,                 1.2067,                 1.0094,                 1.2282,                0.75006,                 0.7164,                0.77882,                0.47258,                 1.3578,                 1.1324,                 1.2796,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.2161,                 1.0387,                 1.2427,                0.76632,                0.61273,                0.74539,                0.45764,                 1.4058,                 1.1824,                 1.3621,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.1957,                0.97608,                 1.2109,                 0.7277,                0.74536,                0.79331,                0.48021,                 1.4139,                 1.1418,                 1.3228,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.1804,                0.99406,                 1.2295,                0.81844,                0.66048,                0.76275,                0.46704,                 1.3921,                 1.1427,                 1.3115,              0.0008516,              0.0008516,              0.0008516
